,institute,institute_Latitude,institute_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
0,Centennial College,43.7857924,-79.2278095754,Second Cup,43.7851229562,-79.2286620248,Coffee Shop
1,Centennial College,43.7857924,-79.2278095754,Su & Shi Noodle Bar,43.78479,-79.22727,Japanese Restaurant
2,Centennial College,43.7857924,-79.2278095754,Tim Hortons,43.7848087456,-79.2273447288,Coffee Shop
3,Centennial College,43.7857924,-79.2278095754,Centennial's Hot Dog,43.78474,-79.22707,Hot Dog Joint
4,Centennial College,43.7857924,-79.2278095754,Chick Felays,43.785732445,-79.2254023614,Fast Food Restaurant
5,Centennial College,43.7857924,-79.2278095754,Marley Coffee,43.78428,-79.22893,Café
6,Centennial College,43.7857924,-79.2278095754,The Local Cafe Restaurant,43.784542,-79.230576,Bistro
7,Centennial College,43.7857924,-79.2278095754,Swiss Chalet,43.7886009216,-79.2277297974,Restaurant
8,Business College,43.6563944,-79.382596856,JOEY,43.6560936541,-79.3818779236,American Restaurant
9,Business College,43.6563944,-79.382596856,Red Lobster,43.656328,-79.383621,Seafood Restaurant
10,Business College,43.6563944,-79.382596856,GB Hand-Pulled Noodles,43.6564342255,-79.3837827356,Chinese Restaurant
11,Business College,43.6563944,-79.382596856,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.6560628725,-79.3836947245,Dessert Shop
12,Business College,43.6563944,-79.382596856,McDonald's,43.6581960967,-79.3818716175,Fast Food Restaurant
13,Business College,43.6563944,-79.382596856,The Queen and Beaver Public House,43.6574722821,-79.3835241233,Gastropub
14,Business College,43.6563944,-79.382596856,Chipotle Mexican Grill,43.6564850176,-79.3809449084,Mexican Restaurant
15,Business College,43.6563944,-79.382596856,Five Guys,43.6571063531,-79.3813060634,Burger Joint
16,Business College,43.6563944,-79.382596856,Denny's,43.6553706487,-79.384432286,Diner
17,Business College,43.6563944,-79.382596856,PABLO Toronto パブロ,43.6556697757,-79.3843033089,Bakery
18,Business College,43.6563944,-79.382596856,Jack Astor's Bar & Grill,43.656543725,-79.3800589442,Restaurant
19,Business College,43.6563944,-79.382596856,H Mart,43.657566198,-79.3815375088,Grocery Store
20,Business College,43.6563944,-79.382596856,DAGU RICE NOODLE Toronto 大鼓米线,43.655632071,-79.3842803383,Noodle House
21,Business College,43.6563944,-79.382596856,Market Garden,43.6583699801,-79.3826293294,Restaurant
22,Business College,43.6563944,-79.382596856,Salad King,43.6575333994,-79.3815851212,Thai Restaurant
23,Business College,43.6563944,-79.382596856,Chatime 日出茶太,43.6555416415,-79.3846842704,Bubble Tea Shop
24,Business College,43.6563944,-79.382596856,Spring Sushi,43.6562525298,-79.3806595447,Sushi Restaurant
25,Business College,43.6563944,-79.382596856,Blaze Pizza,43.656518,-79.380015,Pizza Place
26,Business College,43.6563944,-79.382596856,Starbucks,43.6554857385,-79.3852406955,Coffee Shop
27,Business College,43.6563944,-79.382596856,Urban Eatery,43.6551496995,-79.3808468344,Food Court
28,Business College,43.6563944,-79.382596856,Paramount Fine Foods,43.6550287085,-79.3802451302,Middle Eastern Restaurant
29,Business College,43.6563944,-79.382596856,Tsujiri,43.6553743078,-79.3853543474,Tea Room
30,Business College,43.6563944,-79.382596856,Hailed Coffee,43.6588329698,-79.3836835199,Coffee Shop
31,Business College,43.6563944,-79.382596856,Fran's,43.6542647493,-79.3791200554,Diner
32,Business College,43.6563944,-79.382596856,Starbucks,43.6575716858,-79.3866702158,Coffee Shop
33,Business College,43.6563944,-79.382596856,Scaddabush Italian Kitchen & Bar,43.658920292,-79.3828910538,Italian Restaurant
34,Business College,43.6563944,-79.382596856,Tim Hortons,43.65857,-79.385123411,Coffee Shop
35,Business College,43.6563944,-79.382596856,Labothéry,43.6586923945,-79.3848896136,Bubble Tea Shop
36,Business College,43.6563944,-79.382596856,The Senator Restaurant,43.6556409146,-79.3791988258,Diner
37,Business College,43.6563944,-79.382596856,Starbucks,43.659260439,-79.3819713593,Coffee Shop
38,Business College,43.6563944,-79.382596856,Balzac's Coffee,43.6578544067,-79.3791998116,Café
39,Business College,43.6563944,-79.382596856,Jimmy's Coffee,43.6584212357,-79.3856131955,Coffee Shop
40,Business College,43.6563944,-79.382596856,Eggspectation Bell Trinity Square,43.6531438389,-79.3819801668,Breakfast Spot
41,Business College,43.6563944,-79.382596856,Hokkaido Ramen Santouka らーめん山頭火,43.6564352029,-79.37758638,Ramen Restaurant
42,Business College,43.6563944,-79.382596856,Banh Mi Boys,43.6591875186,-79.3821314997,Sandwich Place
43,Business College,43.6563944,-79.382596856,Sansotei Ramen 三草亭,43.6551574676,-79.3865006748,Ramen Restaurant
44,Business College,43.6563944,-79.382596856,Starbucks,43.6537079657,-79.3797878293,Coffee Shop
