,Postalcode,Borough,Neighbourhood,Latitude,Longitude
0,M4T,Central Toronto,Moore Park,43.6895743,-79.3831599
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.1604971
2,M1B,Scarborough,"Rouge, Malvern",43.8066863,-79.1943534
3,M1E,Scarborough,"Morningside, West Hill",43.7635726,-79.1887115
4,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
5,M1G,Scarborough,Woburn,43.7709921,-79.2169174
6,M1H,Scarborough,Cedarbrae,43.773136,-79.2394761
7,M1K,Scarborough,"Ionview, Kennedy Park",43.7279292,-79.2620294
8,M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761
9,M1M,Scarborough,"Cliffcrest, Cliffside",43.716316,-79.2394761
10,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.7111117,-79.2845772
11,M9W,Etobicoke,Northwest,43.7067483,-79.5940544
12,M1N,Scarborough,Birch Cliff,43.692657,-79.2648481
13,M2M,North York,"Newtonbrook, Willowdale",43.789053,-79.4084928
14,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.273304
15,M1S,Scarborough,Agincourt,43.7942003,-79.2620294
16,M1R,Scarborough,"Maryvale, Wexford",43.7500715,-79.2958491
17,M9M,North York,"Emery, Humberlea",43.7247659,-79.5322424
18,M9L,North York,Humber Summit,43.7563033,-79.5659633
19,M1W,Scarborough,Steeles West,43.7995252,-79.3183887
20,M9N,York,Weston,43.706876,-79.5181884
21,M9A,Etobicoke,Islington Avenue,43.6678556,-79.5322424
22,M1X,Scarborough,Upper Rouge,43.8361247,-79.2056361
23,M9C,Etobicoke,Markland Wood,43.6435152,-79.5772008
24,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park",43.6509432,-79.5547244
25,M6P,West Toronto,High Park,43.6616083,-79.4647633
26,M2L,North York,"Silver Hills, York Mills",43.7574902,-79.3747141
27,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
28,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
29,M4K,East Toronto,Riverdale,43.6795571,-79.352188
30,M9P,Etobicoke,Westmount,43.696319,-79.5322424
31,M4H,East York,Thorncliffe Park,43.7053689,-79.3493719
32,M2R,North York,Willowdale West,43.7827364,-79.4422593
33,M4J,East York,East Toronto,43.685347,-79.3381065
34,M6A,North York,"Lawrence Heights, Lawrence Manor",43.718518,-79.4647633
35,M6B,North York,Glencairn,43.709577,-79.4450726
36,M2H,North York,Hillcrest Village,43.8037622,-79.3634517
37,M2J,North York,Henry Farm,43.7785175,-79.3465557
38,M2K,North York,Bayview Village,43.7869473,-79.385975
39,M4B,East York,"Woodbine Gardens, Parkview Hill",43.7063972,-79.309937
40,M4C,East York,Woodbine Heights,43.6953439,-79.3183887
41,M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497
42,M4A,North York,Victoria Village,43.7258823,-79.3155716
43,M6L,North York,Maple Leaf Park,43.7137562,-79.4900738
44,M4G,East York,Leaside,43.7090604,-79.3634517
45,M4E,East Toronto,The Beaches,43.6763574,-79.2930312
46,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599
47,M9R,Etobicoke,Kingsview Village,43.6889054,-79.5547244
48,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor",43.6288408,-79.5209994
49,M4L,East Toronto,India Bazaar,43.6689985,-79.3155716
50,M8X,Etobicoke,The Kingsway,43.6536536,-79.5069436
51,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.4985091
52,M8V,Etobicoke,New Toronto,43.6056466,-79.5013207
53,M8W,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841
54,M3H,North York,"Bathurst Manor, Wilson Heights",43.7543283,-79.4422593
55,M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753
56,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill",43.6864123,-79.4000493
57,M6H,West Toronto,Dovercourt Village,43.6690051,-79.4422593
58,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
59,M1T,Scarborough,Tam O'Shanter,43.7816375,-79.3043021
60,M3K,North York,CFB Toronto,43.7374732,-79.4647633
61,M9V,Etobicoke,"Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.7394164,-79.5884369
62,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.3815764
63,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
64,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
65,M6K,West Toronto,"Exhibition Place, Parkdale Village",43.6368472,-79.4281914
66,M5P,Central Toronto,Forest Hill North,43.6969476,-79.4113072
67,M5S,Downtown Toronto,University of Toronto,43.6626956,-79.4000493
